bigg_id	universal_bigg_id	name	model_list	database_links	old_bigg_ids
12dgr120_c	12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	iEC1364_W; iEC1349_Crooks; iEC1356_Bl21DE3; iML1515; iYS1720; iEC1368_DH5a; iEC1372_W3110; iJN1463; iEC1344_C; iECBD_1354; iECH74115_1262; iECB_1328; iECDH10B_1368; iEcE24377_1341; iECDH1ME8569_1439; iECED1_1282; iECD_1391; iECABU_c1320; iEcHS_1320; iEC55989_1330; iEcDH1_1363; iSF_1195; iEC042_1314; iAPECO1_1312; iB21_1397; iBWG_1329; iAF1260; ic_1306; iE2348C_1286; iJO1366; iPC815; iECSF_1327; iLF82_1304; iECW_1372; iNRG857_1313; iEcSMS35_1347; iETEC_1333; iG2583_1286; iEKO11_1354; iECSP_1301; iECUMN_1333; iS_1188; iAF1260b; STM_v1_0; iAF987; iHN637; iY75_1357; iUTI89_1310; iSFV_1184; iSBO_1134; iSDY_1059; iSSON_1240; iSFxv_1172; iSbBS512_1146; iUMN146_1321; iYL1228; iUMNK88_1353; iZ_1308; iWFL_1372; iECS88_1305; iECO111_1330; iECO103_1326; iECIAI39_1322; iEcolC_1368; iECIAI1_1343; iECSE_1348; iECOK1_1307; iECs_1301; iECO26_1355; iECNA114_1301; iECP_1309	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM4939	12dgr120; 12dgr120[c]; 12dgr120_c; _12dgr120_c
12dgr140_c	12dgr140	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)	iECNA114_1301; iECSE_1348; iECO111_1330; iECOK1_1307; iECS88_1305; iECs_1301; iECP_1309; iEcolC_1368; iECO26_1355; iECO103_1326; iECIAI39_1322; iECIAI1_1343; iB21_1397; iAPECO1_1312; iAF1260; iE2348C_1286; iSF_1195; iJO1366; iPC815; ic_1306; iBWG_1329; iEC042_1314; iEC1372_W3110; iEC1368_DH5a; iYS1720; iJN1463; iEC1344_C; iEC1356_Bl21DE3; iLB1027_lipid; iEC1349_Crooks; iEC1364_W; iML1515; iECB_1328; iECDH10B_1368; iEC55989_1330; iECH74115_1262; iEcHS_1320; iECBD_1354; iEcE24377_1341; iECD_1391; iECDH1ME8569_1439; iECABU_c1320; iECED1_1282; iEcDH1_1363; iSbBS512_1146; iZ_1308; iSDY_1059; iUMN146_1321; iYL1228; iUMNK88_1353; iUTI89_1310; iWFL_1372; iSSON_1240; iSBO_1134; iSFxv_1172; iSFV_1184; iG2583_1286; iECUMN_1333; iNRG857_1313; iLF82_1304; iETEC_1333; iECW_1372; iEcSMS35_1347; iECSP_1301; iECSF_1327; iEKO11_1354; iS_1188; iHN637; STM_v1_0; iAF987; iY75_1357; iAF1260b	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM146479	12dgr140; 12dgr140[c]; 12dgr140_c; _12dgr140_c
12dgr180_c	12dgr180	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	iECB_1328; iECDH10B_1368; iEcE24377_1341; iECDH1ME8569_1439; iECABU_c1320; iECD_1391; iEC55989_1330; iECBD_1354; iECH74115_1262; iEcDH1_1363; iECED1_1282; iEcHS_1320; iSSON_1240; iSFV_1184; iUTI89_1310; iZ_1308; iWFL_1372; iUMNK88_1353; iYL1228; iSDY_1059; iSbBS512_1146; iUMN146_1321; iSFxv_1172; iSBO_1134; STM_v1_0; iAF1260b; iJN678; iHN637; iAF987; iY75_1357; iECUMN_1333; iS_1188; iECW_1372; iECSF_1327; iEKO11_1354; iNRG857_1313; iG2583_1286; iLF82_1304; iECSP_1301; iETEC_1333; iEcSMS35_1347; iECP_1309; iECO111_1330; iECs_1301; iECS88_1305; iECOK1_1307; iECNA114_1301; iECSE_1348; iECIAI1_1343; iEcolC_1368; iECO26_1355; iECIAI39_1322; iECO103_1326; iAF1260; iEC042_1314; iE2348C_1286; ic_1306; iJO1366; iBWG_1329; iB21_1397; iSF_1195; iAPECO1_1312; iPC815; iEC1364_W; iEC1349_Crooks; iML1515; iLB1027_lipid; iEC1356_Bl21DE3; iEC1372_W3110; iSynCJ816; iJN1463; iYS1720; iEC1368_DH5a; iEC1344_C	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM4217	12dgr180; 12dgr180[c]; 12dgr180_c; _12dgr180_c
14glucan_c	14glucan	1,4-alpha-D-glucan	iSFxv_1172; iUTI89_1310; iSSON_1240; iSbBS512_1146; iWFL_1372; iZ_1308; iSFV_1184; iSBO_1134; iYL1228; iUMNK88_1353; iSDY_1059; iUMN146_1321; iECs_1301; iECP_1309; iECO26_1355; iECNA114_1301; iECOK1_1307; iECSE_1348; iECO103_1326; iEcolC_1368; iECIAI1_1343; iECO111_1330; iECIAI39_1322; iECS88_1305; iJB785; iML1515; iEC1364_W; iEK1008; iEC1356_Bl21DE3; iEC1349_Crooks; iY75_1357; iAF1260b; STM_v1_0; iJO1366; iBWG_1329; ic_1306; iSF_1195; iE2348C_1286; iAPECO1_1312; iB21_1397; iAF1260; iEC042_1314; iPC815; iECH74115_1262; iECABU_c1320; iEcDH1_1363; iECED1_1282; iEC55989_1330; iEcE24377_1341; iECB_1328; iECDH1ME8569_1439; iEcHS_1320; iECD_1391; iECDH10B_1368; iECBD_1354; iYS1720; iEC1368_DH5a; iEC1372_W3110; iS_1188; iG2583_1286; iECUMN_1333; iLF82_1304; iECSP_1301; iEKO11_1354; iNRG857_1313; iECSF_1327; iECW_1372; iEcSMS35_1347; iETEC_1333	BioCyc: http://identifiers.org/biocyc/META:1-4-alpha-D-Glucan; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM2905; SEED Compound: http://identifiers.org/seed.compound/cpd21754	14glucan; 14glucan_c
15dap_c	15dap	1,5-Diaminopentane	iECUMN_1333; iLF82_1304; iETEC_1333; iECSF_1327; iEcSMS35_1347; iEKO11_1354; iS_1188; iECSP_1301; iNRG857_1313; iECW_1372; iECSE_1348; iG2583_1286; iHN637; iY75_1357; iJN678; iYO844; iAF1260b; STM_v1_0; iECS88_1305; iECNA114_1301; iECs_1301; iECIAI39_1322; iEcolC_1368; iECO26_1355; iECO111_1330; iECIAI1_1343; iECO103_1326; iECP_1309; iECOK1_1307; iUMNK88_1353; iSFxv_1172; iSbBS512_1146; iSDY_1059; iSFV_1184; iWFL_1372; iJR904; iZ_1308; iSBO_1134; iSSON_1240; iYL1228; iUTI89_1310; iUMN146_1321; iEC1356_Bl21DE3; iEC1349_Crooks; iML1515; iYS1720; iAM_Pf480; iAM_Pb448; iEC1364_W; iJN1463; iEC1368_DH5a; iEC1372_W3110; iEC1344_C; iSynCJ816; iAM_Pv461; iAM_Pc455; iAM_Pk459; iAPECO1_1312; iSB619; iAF1260; iBWG_1329; iJO1366; iSF_1195; iJN746; iE2348C_1286; ic_1306; iB21_1397; iEC042_1314; iECDH1ME8569_1439; iECD_1391; iEcHS_1320; iECED1_1282; iECB_1328; iEC55989_1330; iECDH10B_1368; iEcE24377_1341; iECABU_c1320; iEcDH1_1363; iECBD_1354; iECH74115_1262	KEGG Compound: http://identifiers.org/kegg.compound/C01672; CHEBI: http://identifiers.org/chebi/CHEBI:13928; CHEBI: http://identifiers.org/chebi/CHEBI:18127; CHEBI: http://identifiers.org/chebi/CHEBI:22974; CHEBI: http://identifiers.org/chebi/CHEBI:3288; CHEBI: http://identifiers.org/chebi/CHEBI:44370; CHEBI: http://identifiers.org/chebi/CHEBI:58384; Human Metabolome Database: http://identifiers.org/hmdb/HMDB02322; BioCyc: http://identifiers.org/biocyc/META:CADAVERINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM943; InChI Key: https://identifiers.org/inchikey/VHRGRCVQAFMJIZ-UHFFFAOYSA-P; SEED Compound: http://identifiers.org/seed.compound/cpd01155	15dap; 15dap[c]; 15dap_c
23ddhb_c	23ddhb	2,3-Dihydro-2,3-dihydroxybenzoate	iEC1372_W3110; iEC1368_DH5a; iCN900; iEC1364_W; iEC1344_C; iYS1720; iECSF_1327; iECSP_1301; iECW_1372; iEcSMS35_1347; iECSE_1348; iETEC_1333; iS_1188; iNRG857_1313; iECUMN_1333; iG2583_1286; iLF82_1304; iEKO11_1354; iZ_1308; iSSON_1240; iSBO_1134; iUTI89_1310; iSbBS512_1146; iSFV_1184; iUMN146_1321; iUMNK88_1353; iSFxv_1172; iWFL_1372; iJR904; iSDY_1059; iYL1228; iECB_1328; iECDH1ME8569_1439; iEcHS_1320; iEcE24377_1341; iECBD_1354; iEC55989_1330; iECABU_c1320; iECH74115_1262; iEcDH1_1363; iECDH10B_1368; iECED1_1282; iECD_1391; iAF1260b; iYO844; STM_v1_0; iY75_1357; iML1515; iEC1349_Crooks; iYS854; iEC1356_Bl21DE3; iECO103_1326; iECP_1309; iEcolC_1368; iECs_1301; iECIAI39_1322; iECO111_1330; iECIAI1_1343; iECOK1_1307; iECNA114_1301; iECO26_1355; iECS88_1305; iSF_1195; iAPECO1_1312; iEC042_1314; iAF1260; ic_1306; iBWG_1329; iJO1366; iE2348C_1286; iB21_1397	KEGG Compound: http://identifiers.org/kegg.compound/C04171; CHEBI: http://identifiers.org/chebi/CHEBI:11420; CHEBI: http://identifiers.org/chebi/CHEBI:11423; CHEBI: http://identifiers.org/chebi/CHEBI:15941; CHEBI: http://identifiers.org/chebi/CHEBI:19311; CHEBI: http://identifiers.org/chebi/CHEBI:48968; CHEBI: http://identifiers.org/chebi/CHEBI:57576; CHEBI: http://identifiers.org/chebi/CHEBI:58764; CHEBI: http://identifiers.org/chebi/CHEBI:877; InChI Key: https://identifiers.org/inchikey/INCSWYKICIYAHB-WDSKDSINSA-M; BioCyc: http://identifiers.org/biocyc/META:DIHYDRO-DIOH-BENZOATE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM114261; SEED Compound: http://identifiers.org/seed.compound/cpd02566; SEED Compound: http://identifiers.org/seed.compound/cpd29666	23ddhb; 23ddhb_c
23dhba_c	23dhba	(2,3-Dihydroxybenzoyl)adenylate	iECs_1301; iECO111_1330; iECP_1309; iECIAI1_1343; iECO103_1326; iECO26_1355; iECNA114_1301; iECOK1_1307; iEcolC_1368; iECIAI39_1322; iECS88_1305; iAPECO1_1312; iB21_1397; iBWG_1329; iEC042_1314; iAF1260; iNJ661; iJO1366; ic_1306; iE2348C_1286; iSF_1195; iEC1364_W; iEC1372_W3110; iEC1368_DH5a; iYS1720; iEC1344_C; iEC1349_Crooks; iML1515; iEC1356_Bl21DE3; iEcE24377_1341; iECBD_1354; iECH74115_1262; iEC55989_1330; iEcHS_1320; iECABU_c1320; iECED1_1282; iECD_1391; iECB_1328; iECDH10B_1368; iEcDH1_1363; iECDH1ME8569_1439; iUTI89_1310; iWFL_1372; iSbBS512_1146; iZ_1308; iJR904; iSDY_1059; iUMN146_1321; iUMNK88_1353; iSFxv_1172; iSSON_1240; iSFV_1184; iYL1228; iSBO_1134; iG2583_1286; iECSF_1327; iS_1188; iNRG857_1313; iECSP_1301; iETEC_1333; iEcSMS35_1347; iECSE_1348; iECW_1372; iLF82_1304; iECUMN_1333; iEKO11_1354; iYO844; iY75_1357; iAF1260b; STM_v1_0	KEGG Compound: http://identifiers.org/kegg.compound/C04030; CHEBI: http://identifiers.org/chebi/CHEBI:10846; CHEBI: http://identifiers.org/chebi/CHEBI:15572; CHEBI: http://identifiers.org/chebi/CHEBI:170; CHEBI: http://identifiers.org/chebi/CHEBI:18521; CHEBI: http://identifiers.org/chebi/CHEBI:57417; BioCyc: http://identifiers.org/biocyc/META:CPD-62; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1978; InChI Key: https://identifiers.org/inchikey/ULPVJDOMCRTJSN-RVXWVPLUSA-M; SEED Compound: http://identifiers.org/seed.compound/cpd02494	23dhba; 23dhba_c
23dhbzs_c	23dhbzs	2,3-dihydroxybenzoylserine	STM_v1_0; iY75_1357; iAF1260b; iML1515; iEC1349_Crooks; iEC1356_Bl21DE3; iB21_1397; iAPECO1_1312; iE2348C_1286; ic_1306; iBWG_1329; iJO1366; iAF1260; iSF_1195; iEC042_1314; iECOK1_1307; iECs_1301; iECIAI39_1322; iECO103_1326; iECNA114_1301; iECO26_1355; iECIAI1_1343; iEcolC_1368; iECO111_1330; iECS88_1305; iECP_1309; iEC1364_W; iYS1720; iEC1368_DH5a; iEC1372_W3110; iEC1344_C; iECW_1372; iLF82_1304; iETEC_1333; iS_1188; iECUMN_1333; iEKO11_1354; iECSE_1348; iEcSMS35_1347; iNRG857_1313; iG2583_1286; iECSP_1301; iECSF_1327; iEC55989_1330; iECED1_1282; iECB_1328; iECDH10B_1368; iEcHS_1320; iEcE24377_1341; iEcDH1_1363; iECBD_1354; iECD_1391; iECH74115_1262; iECABU_c1320; iECDH1ME8569_1439; iSFxv_1172; iUMNK88_1353; iZ_1308; iUMN146_1321; iYL1228; iUTI89_1310; iSbBS512_1146; iSFV_1184; iWFL_1372; iSBO_1134; iSSON_1240; iSDY_1059	KEGG Compound: http://identifiers.org/kegg.compound/C04204; CHEBI: http://identifiers.org/chebi/CHEBI:12428; CHEBI: http://identifiers.org/chebi/CHEBI:17455; CHEBI: http://identifiers.org/chebi/CHEBI:21467; CHEBI: http://identifiers.org/chebi/CHEBI:58154; CHEBI: http://identifiers.org/chebi/CHEBI:7084; BioCyc: http://identifiers.org/biocyc/META:N-23-DIHYDROXYBENZOYL-L-SERINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1487; InChI Key: https://identifiers.org/inchikey/VDTYHTVHFIIEIL-LURJTMIESA-M; SEED Compound: http://identifiers.org/seed.compound/cpd02582; SEED Compound: http://identifiers.org/seed.compound/cpd15332	23dhbzs; 23dhbzs_c
26dap_LL_c	26dap_LL	LL-2,6-Diaminoheptanedioate	iLJ478; iAF1260b; STM_v1_0; iJN678; iY75_1357; iYO844; iHN637; iRC1080; iAF987; iEC1349_Crooks; iEK1008; iYS854; iML1515; iJB785; iEC1356_Bl21DE3; iNF517; iBWG_1329; iAPECO1_1312; iIT341; iPC815; iE2348C_1286; iSF_1195; iJN746; iB21_1397; iAF1260; iNJ661; iSB619; ic_1306; iEC042_1314; iJO1366; iECNA114_1301; iECO26_1355; iECS88_1305; iECO111_1330; iECs_1301; iECIAI39_1322; iEcolC_1368; iECP_1309; iECOK1_1307; iECO103_1326; iECIAI1_1343; iEC1364_W; iYS1720; iJN1463; iCN718; iEC1368_DH5a; iEC1372_W3110; iSynCJ816; iEC1344_C; iCN900; iG2583_1286; iEcSMS35_1347; iECSF_1327; iETEC_1333; iEKO11_1354; iS_1188; iECW_1372; iECSP_1301; iECSE_1348; iLF82_1304; iECUMN_1333; iNRG857_1313; iECB_1328; iECBD_1354; iECDH1ME8569_1439; iECD_1391; iECDH10B_1368; iEC55989_1330; iECH74115_1262; iECED1_1282; iEcDH1_1363; iEcHS_1320; iEcE24377_1341; iECABU_c1320; iSDY_1059; iUMNK88_1353; iWFL_1372; iSbBS512_1146; iUTI89_1310; iSSON_1240; iSBO_1134; iZ_1308; iSFV_1184; iSFxv_1172; iJR904; iUMN146_1321; iYL1228	KEGG Compound: http://identifiers.org/kegg.compound/C00666; CHEBI: http://identifiers.org/chebi/CHEBI:13192; CHEBI: http://identifiers.org/chebi/CHEBI:16026; CHEBI: http://identifiers.org/chebi/CHEBI:21428; CHEBI: http://identifiers.org/chebi/CHEBI:21429; CHEBI: http://identifiers.org/chebi/CHEBI:47031; CHEBI: http://identifiers.org/chebi/CHEBI:57609; CHEBI: http://identifiers.org/chebi/CHEBI:6341; InChI Key: https://identifiers.org/inchikey/GMKMEZVLHJARHF-WHFBIAKZSA-N; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01370; LipidMaps: http://identifiers.org/lipidmaps/LMFA01170102; BioCyc: http://identifiers.org/biocyc/META:LL-DIAMINOPIMELATE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM644; SEED Compound: http://identifiers.org/seed.compound/cpd00504	26dap-LL[c]; 26dap_DASH_LL_c; 26dap_LL; 26dap_LL[c]; 26dap_LL_c; 26dap__LL_c; _26dap_LL_c
2agpe141_c	2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	iEC1344_C; iYS1720; iEC1368_DH5a; iEC1372_W3110; iNRG857_1313; iEKO11_1354; iECSF_1327; iECSP_1301; iEcSMS35_1347; iECW_1372; iETEC_1333; iG2583_1286; iECUMN_1333; iLF82_1304; iS_1188; iSBO_1134; iUMN146_1321; iSbBS512_1146; iYL1228; iUMNK88_1353; iSSON_1240; iZ_1308; iWFL_1372; iSFxv_1172; iSFV_1184; iSDY_1059; iUTI89_1310; iECBD_1354; iECED1_1282; iECD_1391; iECABU_c1320; iEcE24377_1341; iEcHS_1320; iECB_1328; iECDH1ME8569_1439; iEC55989_1330; iECDH10B_1368; iECH74115_1262; iEcDH1_1363; iY75_1357; iAF1260b; iAF987; STM_v1_0; iEC1356_Bl21DE3; iEC1349_Crooks; iML1515; iYS854; iEC1364_W; iECs_1301; iECO103_1326; iECS88_1305; iECNA114_1301; iECP_1309; iECO26_1355; iECIAI39_1322; iECOK1_1307; iECSE_1348; iECO111_1330; iEcolC_1368; iECIAI1_1343; iE2348C_1286; iBWG_1329; iAPECO1_1312; iB21_1397; iAF1260; ic_1306; iJO1366; iSF_1195; iPC815; iEC042_1314	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM3447	2agpe141; 2agpe141_c; _2agpe141_c
