bigg_id	name	reaction_string	model_list	database_links	old_bigg_ids
DM_4crsol_c	Sink needed to allow p-Cresol to leave system	4crsol_c <-> 	iEcDH1_1363; iJO1366; iE2348C_1286; iECB_1328; iB21_1397; iECDH1ME8569_1439; ic_1306; iECBD_1354; iAPECO1_1312; iEC042_1314; iECD_1391; iBWG_1329; iSF_1195; iECABU_c1320; iEC55989_1330; iEcolC_1368; iECH74115_1262; iECO103_1326; iECDH10B_1368; iECIAI39_1322; iECIAI1_1343; iECs_1301; iECNA114_1301; iECED1_1282; iEcE24377_1341; iECS88_1305; iECP_1309; iECOK1_1307; iEcHS_1320; iECO26_1355; iECO111_1330; iY75_1357; iUTI89_1310; iUMNK88_1353; iZ_1308; iWFL_1372; iML1515; iEC1349_Crooks; iEC1344_C; iEC1356_Bl21DE3; iEC1368_DH5a; iEC1364_W; iEC1372_W3110; iG2583_1286; iSFV_1184; iETEC_1333; iECUMN_1333; iUMN146_1321; iS_1188; iECSF_1327; iSDY_1059; iSFxv_1172; iSBO_1134; iNRG857_1313; iECW_1372; iECSP_1301; iECSE_1348; iSbBS512_1146; iEcSMS35_1347; iEKO11_1354; iSSON_1240; iLF82_1304	RHEA: http://identifiers.org/rhea/35071; RHEA: http://identifiers.org/rhea/35072; RHEA: http://identifiers.org/rhea/35073; RHEA: http://identifiers.org/rhea/35074; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN0-500; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR96888	DM_4CRSOL; DM_4crsol_c
DM_aacald_c	Sink needed to allow aminoacetaldehyde to leave system	aacald_c <-> 	iECB_1328; iBWG_1329; iE2348C_1286; iECBD_1354; iAF1260; iECABU_c1320; iEcDH1_1363; iEC55989_1330; iJO1366; iEC042_1314; iJN746; iECD_1391; iAPECO1_1312; iECDH1ME8569_1439; iSF_1195; ic_1306; iB21_1397; iECSF_1327; iSbBS512_1146; iECSP_1301; iSFxv_1172; iSBO_1134; iECW_1372; iSFV_1184; iG2583_1286; iEcSMS35_1347; iUMN146_1321; iSSON_1240; iETEC_1333; iLF82_1304; iEKO11_1354; iECUMN_1333; iS_1188; iECSE_1348; iSDY_1059; iNRG857_1313; iML1515; iUTI89_1310; iAF1260b; iY75_1357; iWFL_1372; iZ_1308; iUMNK88_1353; iEC1364_W; iEC1372_W3110; iEC1368_DH5a; iEC1356_Bl21DE3; iEC1349_Crooks; iEC1344_C; iECO111_1330; iECO103_1326; iECDH10B_1368; iEcHS_1320; iECED1_1282; iEcE24377_1341; iEcolC_1368; iECO26_1355; iECIAI1_1343; iECS88_1305; iECNA114_1301; iECH74115_1262; iECP_1309; iECs_1301; iECIAI39_1322; iECOK1_1307	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR142747	DM_AACALD; DM_aacald_c; R_DM_AACALD
DM_amob_c	Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system	amob_c <-> 	iECNA114_1301; iECDH10B_1368; iECP_1309; iECIAI39_1322; iECIAI1_1343; iECs_1301; iEcE24377_1341; iECS88_1305; iECH74115_1262; iECO26_1355; iECED1_1282; iEcolC_1368; iECO111_1330; iECOK1_1307; iEcHS_1320; iECO103_1326; iG2583_1286; iLF82_1304; iEcSMS35_1347; iSFV_1184; iSbBS512_1146; iEKO11_1354; iSFxv_1172; iS_1188; iECUMN_1333; iNRG857_1313; iECSE_1348; iECW_1372; iSDY_1059; iECSP_1301; iSSON_1240; iECSF_1327; iUMN146_1321; iETEC_1333; iSBO_1134; iECABU_c1320; iB21_1397; iJO1366; iECDH1ME8569_1439; iECD_1391; iSF_1195; iECBD_1354; iBWG_1329; iIT341; iECB_1328; iAPECO1_1312; iEC042_1314; iEC55989_1330; ic_1306; iE2348C_1286; iEcDH1_1363; iEC1344_C; iEC1368_DH5a; iEC1364_W; iEC1372_W3110; iJN1463; iEC1356_Bl21DE3; iEC1349_Crooks; iYS854; iY75_1357; iZ_1308; iML1515; iUTI89_1310; iAF987; iWFL_1372; iJB785; iUMNK88_1353	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR142748	DM_AMOB; DM_amob_c; sink_amob
BIOMASS_Ec_iJO1366_core_53p95M	E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate	0.000223 10fthf_c + 2.6e-05 2fe2s_c + 0.000223 2ohph_c + 0.00026 4fe4s_c + 0.513689 ala__L_c + 0.000223 amet_c + 0.295792 arg__L_c + 0.241055 asn__L_c + 0.241055 asp__L_c + 54.124831 atp_c + 0.000122 bmocogdp_c + 2e-06 btn_c + 0.005205 ca2_c + 0.005205 cl_c + 0.000576 coa_c + 2.5e-05 cobalt2_c + 0.133508 ctp_c + 0.000709 cu2_c + 0.09158 cys__L_c + 0.026166 datp_c + 0.027017 dctp_c + 0.027017 dgtp_c + 0.026166 dttp_c + 0.000223 fad_c + 0.006715 fe2_c + 0.007808 fe3_c + 0.26316 gln__L_c + 0.26316 glu__L_c + 0.612638 gly_c + 0.215096 gtp_c + 48.601527 h2o_c + 0.094738 his__L_c + 0.290529 ile__L_c + 0.195193 k_c + 0.450531 leu__L_c + 0.343161 lys__L_c + 0.153686 met__L_c + 0.008675 mg2_c + 0.000223 mlthf_c + 0.000691 mn2_c + 7e-06 mobd_c + 0.001831 nad_c + 0.000447 nadp_c + 0.013013 nh4_c + 0.000323 ni2_c + 0.017868 pe160_c + 0.054154 pe161_c + 0.185265 phe__L_c + 0.000223 pheme_c + 0.221055 pro__L_c + 0.000223 pydx5p_c + 0.000223 ribflv_c + 0.215792 ser__L_c + 0.000223 sheme_c + 0.004338 so4_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.253687 thr__L_c + 0.056843 trp__L_c + 0.137896 tyr__L_c + 5.5e-05 udcpdp_c + 0.144104 utp_c + 0.423162 val__L_c + 0.000341 zn2_c + 0.019456 kdo2lipid4_e + 0.013894 murein5px4p_p + 0.045946 pe160_p + 0.02106 pe161_p <-> 53.95 adp_c + 53.95 h_c + 53.945662 pi_c + 0.773903 ppi_c	iZ_1308; iWFL_1372; iUTI89_1310; iUMNK88_1353; iY75_1357; iEC55989_1330; iJO1366; iECDH1ME8569_1439; iECD_1391; iEC042_1314; iEcDH1_1363; ic_1306; iB21_1397; iECB_1328; iAPECO1_1312; iSF_1195; iECABU_c1320; iECBD_1354; iBWG_1329; iE2348C_1286; iECDH10B_1368; iECO26_1355; iECO103_1326; iECP_1309; iEcolC_1368; iECNA114_1301; iEcE24377_1341; iECED1_1282; iECIAI39_1322; iECIAI1_1343; iECO111_1330; iECs_1301; iEcHS_1320; iECH74115_1262; iECOK1_1307; iECS88_1305; iEC1372_W3110; iEC1344_C; iEC1356_Bl21DE3; iEC1364_W; iEC1368_DH5a; iEC1349_Crooks; iETEC_1333; iSDY_1059; iUMN146_1321; iSFxv_1172; iEKO11_1354; iSFV_1184; iG2583_1286; iECSF_1327; iSSON_1240; iECSP_1301; iECSE_1348; iLF82_1304; iNRG857_1313; iS_1188; iECW_1372; iEcSMS35_1347; iSbBS512_1146; iECUMN_1333; iSBO_1134	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR142681	Ec_biomass_iJO1366_core_53p95M
EX_12ppd__S_e	(S)-Propane-1,2-diol exchange	12ppd__S_e <-> 	iECH74115_1262; iECP_1309; iECS88_1305; iECED1_1282; iECO111_1330; iECOK1_1307; iECNA114_1301; iECO26_1355; iEcE24377_1341; iECIAI39_1322; iECO103_1326; iECDH10B_1368; iECs_1301; iEcHS_1320; iECIAI1_1343; iEcolC_1368; iYS1720; iECSE_1348; iEKO11_1354; iNRG857_1313; iSDY_1059; iECSF_1327; iECUMN_1333; iSSON_1240; iSFV_1184; iETEC_1333; iSbBS512_1146; iECSP_1301; iUMN146_1321; iG2583_1286; iSFxv_1172; iS_1188; iECW_1372; iSBO_1134; iLF82_1304; iEcSMS35_1347; iECABU_c1320; iE2348C_1286; iAF1260; iEC042_1314; iEC55989_1330; iAPECO1_1312; iECDH1ME8569_1439; iB21_1397; ic_1306; iSF_1195; iEcDH1_1363; iPC815; iECB_1328; iBWG_1329; iECBD_1354; iECD_1391; iJO1366; iEC1356_Bl21DE3; iEC1368_DH5a; iEC1372_W3110; iEC1349_Crooks; iEC1364_W; iYS854; iEC1344_C; iAF1260b; iUTI89_1310; iJR904; iY75_1357; STM_v1_0; iWFL_1372; iZ_1308; iUMNK88_1353; iML1515; iYL1228	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94684	EX_12ppd_DASH_S_LPAREN_e_RPAREN_; EX_12ppd_S_LPAREN_e_RPAREN_; EX_12ppd_S_e; EX_12ppd__S_e
EX_15dap_e	1,5-Diaminopentane exchange	15dap_e <-> 	iSF_1195; iBWG_1329; iECD_1391; iECB_1328; iAPECO1_1312; iECABU_c1320; iECDH1ME8569_1439; iEcDH1_1363; iEC042_1314; iECBD_1354; iPC815; iEC55989_1330; iAF1260; ic_1306; iJO1366; iB21_1397; iE2348C_1286; iECs_1301; iECO26_1355; iECDH10B_1368; iECP_1309; iECS88_1305; iECH74115_1262; iECNA114_1301; iECO103_1326; iEcHS_1320; iEcolC_1368; iECO111_1330; iECIAI1_1343; iEcE24377_1341; iECED1_1282; iECIAI39_1322; iECOK1_1307; iUTI89_1310; iJR904; iUMNK88_1353; iZ_1308; iYL1228; iY75_1357; iAF1260b; iWFL_1372; iML1515; STM_v1_0; iECUMN_1333; iUMN146_1321; iS_1188; iSFxv_1172; iECW_1372; iSBO_1134; iECSE_1348; iG2583_1286; iEKO11_1354; iSDY_1059; iECSP_1301; iSFV_1184; iSbBS512_1146; iSSON_1240; iLF82_1304; iECSF_1327; iNRG857_1313; iEcSMS35_1347; iETEC_1333; iEC1356_Bl21DE3; iEC1368_DH5a; iJN1463; iEC1372_W3110; iEC1364_W; iEC1349_Crooks; iEC1344_C; iYS1720	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR97147; SEED Reaction: http://identifiers.org/seed.reaction/rxn08305	EX_15dap_LPAREN_e_RPAREN_; EX_15dap_e
EX_23dappa_e	2,3-diaminopropionate exchange	23dappa_e <-> 	iEC042_1314; iECBD_1354; iECABU_c1320; iBWG_1329; ic_1306; iJO1366; iEcDH1_1363; iEC55989_1330; iECDH1ME8569_1439; iAF1260; iB21_1397; iECB_1328; iAPECO1_1312; iE2348C_1286; iECD_1391; iPC815; iSF_1195; iECNA114_1301; iECDH10B_1368; iECP_1309; iECIAI39_1322; iECIAI1_1343; iECOK1_1307; iECO103_1326; iEcE24377_1341; iEcHS_1320; iECs_1301; iECO111_1330; iEcolC_1368; iECED1_1282; iECS88_1305; iECO26_1355; iECH74115_1262; iZ_1308; iY75_1357; STM_v1_0; iYL1228; iML1515; iAF1260b; iUMNK88_1353; iWFL_1372; iUTI89_1310; iSBO_1134; iSDY_1059; iUMN146_1321; iSFV_1184; iSFxv_1172; iECSE_1348; iSbBS512_1146; iECUMN_1333; iNRG857_1313; iECSF_1327; iECSP_1301; iETEC_1333; iEKO11_1354; iG2583_1286; iLF82_1304; iECW_1372; iSSON_1240; iS_1188; iEcSMS35_1347; iEC1372_W3110; iEC1364_W; iCN900; iEC1356_Bl21DE3; iEC1349_Crooks; iEC1368_DH5a; iEC1344_C; iYS1720	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94728; SEED Reaction: http://identifiers.org/seed.reaction/rxn07930	EX_23dappa_LPAREN_e_RPAREN_; EX_23dappa_e
EX_26dap__M_e	Meso-2,6-Diaminoheptanedioate exchange	26dap__M_e <-> 	iYS1720; iUMNK88_1353; iWFL_1372; iYL1228; iUTI89_1310; iZ_1308; STM_v1_0; iY75_1357; iJR904; iML1515; iAF1260b; iSB619; iECB_1328; iPC815; iEC042_1314; iAF1260; iB21_1397; iJO1366; iECDH1ME8569_1439; iEC55989_1330; iEcDH1_1363; iECD_1391; iSF_1195; iBWG_1329; ic_1306; iECABU_c1320; iECBD_1354; iAPECO1_1312; iE2348C_1286; iECIAI39_1322; iECIAI1_1343; iECS88_1305; iECDH10B_1368; iECO103_1326; iECNA114_1301; iECO111_1330; iEcolC_1368; iECP_1309; iECED1_1282; iECH74115_1262; iECO26_1355; iECs_1301; iEcE24377_1341; iEcHS_1320; iECOK1_1307; iYS854; iEC1368_DH5a; iEC1364_W; iJN1463; iEC1344_C; iEC1372_W3110; iEC1356_Bl21DE3; iEC1349_Crooks; iSbBS512_1146; iECSE_1348; iUMN146_1321; iS_1188; iECUMN_1333; iETEC_1333; iEcSMS35_1347; iSSON_1240; iSFV_1184; iECSP_1301; iEKO11_1354; iSFxv_1172; iSDY_1059; iECW_1372; iECSF_1327; iSBO_1134; iNRG857_1313; iG2583_1286; iLF82_1304	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94741; SEED Reaction: http://identifiers.org/seed.reaction/rxn07931	EX_26dap_DASH_M_LPAREN_e_RPAREN_; EX_26dap_M_LPAREN_e_RPAREN_; EX_26dap_M_e; EX_26dap__M_e
EX_34dhpac_e	3,4-Dihydroxyphenylacetaldehyde exchange	34dhpac_e <-> 	iECED1_1282; iECO103_1326; iECO111_1330; iECOK1_1307; iECDH10B_1368; iEcolC_1368; iEcE24377_1341; iECO26_1355; iECNA114_1301; iECP_1309; iECH74115_1262; iECIAI1_1343; iEcHS_1320; iECIAI39_1322; iECS88_1305; iECs_1301; iYS1720; iSbBS512_1146; iS_1188; iLF82_1304; iECSF_1327; iSDY_1059; iECW_1372; iSBO_1134; iSFxv_1172; iECSP_1301; iEKO11_1354; iUMN146_1321; iSFV_1184; iG2583_1286; iEcSMS35_1347; iSSON_1240; iETEC_1333; iECUMN_1333; iECSE_1348; iNRG857_1313; iPC815; iEC55989_1330; iJO1366; iBWG_1329; iECABU_c1320; iECD_1391; iECDH1ME8569_1439; iECB_1328; iECBD_1354; iSF_1195; iB21_1397; iAF1260; iEcDH1_1363; iEC042_1314; iE2348C_1286; ic_1306; iAPECO1_1312; iEC1356_Bl21DE3; iEC1364_W; iEC1372_W3110; iEC1344_C; iEC1349_Crooks; iEC1368_DH5a; iAF1260b; iZ_1308; iYL1228; STM_v1_0; iWFL_1372; iML1515; iY75_1357; iUTI89_1310; iUMNK88_1353	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94848; SEED Reaction: http://identifiers.org/seed.reaction/rxn07972	EX_34dhpac_LPAREN_e_RPAREN_; EX_34dhpac_e
EX_3amp_e	3'-AMP exchange	3amp_e <-> 	iY75_1357; iWFL_1372; iYO844; iZ_1308; iUTI89_1310; iYL1228; STM_v1_0; iAF1260b; iML1515; iUMNK88_1353; iUMN146_1321; iSBO_1134; iSFxv_1172; iNRG857_1313; iETEC_1333; iEcSMS35_1347; iSFV_1184; iECSP_1301; iECUMN_1333; iSSON_1240; iECSE_1348; iECSF_1327; iEKO11_1354; iSbBS512_1146; iS_1188; iG2583_1286; iSDY_1059; iLF82_1304; iECW_1372; iECNA114_1301; iECO26_1355; iECS88_1305; iECP_1309; iEcHS_1320; iECIAI1_1343; iECH74115_1262; iECO103_1326; iEcolC_1368; iECIAI39_1322; iECDH10B_1368; iECs_1301; iECOK1_1307; iEcE24377_1341; iECO111_1330; iECED1_1282; iYS1720; iEC1368_DH5a; iEC1356_Bl21DE3; iEC1372_W3110; iEC1364_W; iYS854; iEC1349_Crooks; iEC1344_C; iECBD_1354; iAPECO1_1312; iB21_1397; iAF1260; iECABU_c1320; iBWG_1329; iJO1366; iEC55989_1330; iPC815; ic_1306; iECD_1391; iE2348C_1286; iEC042_1314; iSF_1195; iECB_1328; iECDH1ME8569_1439; iEcDH1_1363	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94857; SEED Reaction: http://identifiers.org/seed.reaction/rxn07973	EX_3amp_LPAREN_e_RPAREN_; EX_3amp_e; EX_3amp_e_
